"nombre","popularidad","porcentajevictorias","porcentajebaneos","kda","pentasporpartida"
"Kai'Sa","22.6%","50.6%","5.7%","5.7%","0.0054"
"Ezreal","21.2%","48.3%","4.1%","4.1%","0.0016"
"Sylas","19.6%","48.4%","21.3%","21.3%","0.0032"
"Caitlyn","19.0%","49.9%","17.5%","17.5%","0.0016"
"Zed","18.1%","51.7%","54.5%","54.5%","0.0022"
"Jhin","15.7%","51.4%","2.0%","2.0%","0.0021"
"Mordekaiser","14.4%","52.1%","19.0%","19.0%","0.0015"
"Yasuo","13.9%","47.5%","15.0%","15.0%","0.0011"
"Aatrox","13.1%","50.4%","27.9%","27.9%","0.0015"
"Yone","13.0%","48.2%","10.7%","10.7%","0.0013"
"Lux","12.7%","49.8%","3.3%","3.3%","0.0001"
"Irelia","12.4%","49.9%","16.5%","16.5%","0.0024"
"Nami","12.4%","53.0%","3.8%","3.8%","0.0000"
"Dr. Mundo","12.1%","53.6%","7.8%","7.8%","0.0012"
"Lucian","11.9%","49.0%","4.3%","4.3%","0.0027"
"Ashe","11.8%","49.7%","2.4%","2.4%","0.0007"
"Zeri","11.7%","50.1%","4.4%","4.4%","0.0071"
"Varus","11.6%","49.6%","4.7%","4.7%","0.0028"
"Diana","11.5%","50.4%","4.7%","4.7%","0.0016"
"Lee Sin","11.3%","46.1%","4.6%","4.6%","0.0013"
"Akali","11.3%","47.2%","14.9%","14.9%","0.0010"
"Thresh","10.9%","48.7%","2.5%","2.5%","0.0000"
"Lulu","10.9%","50.3%","13.3%","13.3%","0.0000"
"Twitch","10.8%","51.1%","7.7%","7.7%","0.0024"
"Yuumi","10.8%","48.5%","34.5%","34.5%","0.0000"
"Gangplank","10.8%","49.7%","6.9%","6.9%","0.0032"
"Ekko","10.6%","50.7%","7.1%","7.1%","0.0029"
"K'Sante","10.1%","49.6%","16.9%","16.9%","0.0010"
"Samira","9.9%","50.6%","20.4%","20.4%","0.0188"
"Fiora","9.9%","52.3%","35.0%","35.0%","0.0017"
"Vayne","9.8%","50.3%","8.1%","8.1%","0.0064"
"Udyr","9.8%","51.7%","33.7%","33.7%","0.0022"
"Hecarim","9.8%","48.6%","37.0%","37.0%","0.0123"
"Katarina","9.4%","48.3%","8.3%","8.3%","0.0073"
"Karma","9.2%","49.4%","2.8%","2.8%","0.0000"
"Pyke","9.0%","48.9%","12.2%","12.2%","0.0010"
"Darius","8.8%","49.8%","24.0%","24.0%","0.0069"
"Lillia","8.5%","53.5%","6.3%","6.3%","0.0016"
"Kassadin","8.5%","52.3%","10.0%","10.0%","0.0070"
"Sett","8.4%","49.5%","3.6%","3.6%","0.0007"
"Swain","8.3%","49.6%","3.0%","3.0%","0.0005"
"Graves","8.0%","48.1%","7.9%","7.9%","0.0021"
"Warwick","7.8%","51.7%","3.0%","3.0%","0.0006"
"Kayn","7.7%","48.2%","7.7%","7.7%","0.0018"
"Viego","7.7%","48.3%","3.3%","3.3%","0.0030"
"Syndra","7.7%","48.5%","7.6%","7.6%","0.0006"
"Blitzcrank","7.5%","50.0%","21.8%","21.8%","0.0000"
"Tristana","7.5%","50.8%","1.8%","1.8%","0.0029"
"Jax","7.4%","48.8%","7.5%","7.5%","0.0017"
"Viktor","7.3%","51.2%","4.5%","4.5%","0.0010"
"Jinx","7.2%","50.2%","0.3%","0.3%","0.0051"
"Shaco","7.2%","47.4%","11.6%","11.6%","0.0009"
"Camille","7.2%","50.4%","3.0%","3.0%","0.0014"
"Miss Fortune","7.0%","48.9%","1.5%","1.5%","0.0032"
"Maestro Yi","6.9%","51.2%","17.0%","17.0%","0.0166"
"Morgana","6.8%","50.5%","26.7%","26.7%","0.0000"
"Rammus","6.8%","54.6%","16.4%","16.4%","0.0005"
"Draven","6.8%","49.5%","17.7%","17.7%","0.0049"
"Soraka","6.8%","52.1%","3.1%","3.1%","0.0000"
"Nautilus","6.6%","48.8%","10.3%","10.3%","0.0000"
